
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2022-01-30;56.010,61;4771720607917;58.488,69;5875898563958;59.626,67;7188911428728;57.286,85;1383560624648;54.420,82;643035363068;58.726,35;4117266361650;59.414,19;162178576659
2022-01-31;56.620,54;4784084959149;59.082,89;5900355956286;60.264,53;7224372147187;57.912,84;1394689559497;55.017,95;647864415330;59.399,92;4143506877961;60.043,95;162179812360
2022-02-01;56.854,12;4784864501294;59.310,16;5924182165347;60.498,37;7232643087160;58.171,90;1397519390803;55.239,29;650809546039;59.683,31;4176031129708;60.343,03;160876898387
2022-02-02;57.121,78;4817585479379;59.662,20;5954450817215;60.819,67;7254331084515;58.495,86;1405352911279;55.526,73;653421232295;59.980,31;4193903881526;60.618,57;161059984759
2022-02-03;57.583,69;4841574742101;60.163,31;5994224155739;61.329,52;7305580281031;58.990,61;1413697675283;55.987,72;658073050881;60.485,80;4229145778631;61.119,85;161879051282
2022-02-04;57.672,69;4835390240458;60.276,13;5993763655382;61.455,00;7308130982922;59.059,20;1412212621330;56.090,19;658733298229;60.555,17;4228439865046;61.180,75;161411048010
2022-02-05;57.672,69;4835390240458;60.276,13;5993763655382;61.455,00;7308130982922;59.059,20;1412212621330;56.090,19;658733298229;60.555,17;4228439865046;61.180,75;161411048010
2022-02-06;57.672,69;4835390240458;60.276,13;5993763655382;61.455,00;7308130982922;59.059,20;1412212621330;56.090,19;658733298229;60.555,17;4228439865046;61.180,75;161411048010
2022-02-07;58.119,40;4856508306731;60.747,57;6042438204103;61.925,78;7359453312090;59.508,37;1422308876733;56.512,12;663636615476;61.024,07;4257706824601;61.637,18;162648467964
2022-02-08;58.266,83;4871542340629;60.877,43;6061422549466;62.060,06;7382146005759;59.633,90;1425936434959;56.608,84;664484884730;61.150,55;4270343512581;61.784,99;162734642799
2022-02-09;58.272,74;4863355403243;60.848,09;6056667553847;62.063,90;7383174032489;59.651,55;1426005284133;56.645,14;664861199802;61.079,46;4264983015075;61.765,27;162418784943
2022-02-10;58.731,38;4915769545593;61.326,02;6109175855909;62.565,32;7444475220485;60.162,35;1438795334222;57.083,78;670394060610;61.572,90;4300511186564;62.262,61;164060369711
2022-02-11;57.679,07;4832901245627;60.229,62;6004424780009;61.443,34;7321812214024;59.039,83;1414310823764;56.056,91;660275069570;60.397,79;4221542925043;61.125,66;161745328052
2022-02-12;57.679,07;4832901245627;60.229,62;6004424780009;61.443,34;7321812214024;59.039,83;1414310823764;56.056,91;660275069570;60.397,79;4221542925043;61.125,66;161745328052
2022-02-13;57.679,07;4832901245627;60.229,62;6004424780009;61.443,34;7321812214024;59.039,83;1414310823764;56.056,91;660275069570;60.397,79;4221542925043;61.125,66;161745328052
2022-02-14;57.404,23;4828692908024;59.914,66;5986900060857;61.139,37;7314624486494;58.714,90;1411740094661;55.760,55;658719636219;60.047,87;4198396228028;60.833,52;161966962592
2022-02-15;57.100,55;4824551119813;59.578,28;5971976629315;60.795,48;7296987446325;58.379,90;1407119598264;55.467,57;660703673061;59.729,53;4171466823789;60.506,08;161017627643
2022-02-16;57.319,95;4850309644579;59.813,10;5997911302445;61.033,08;7330514595189;58.629,33;1414104647026;55.703,21;664421768461;59.962,36;4189358322455;60.730,47;161794171804
2022-02-17;57.348,78;4850161027217;59.851,85;5993741008845;61.081,50;7333410608221;58.637,49;1412711996597;55.724,52;664766450574;60.009,38;4189995768293;60.750,97;161616939246
2022-02-18;56.924,16;4788371255455;59.419,44;5933919086222;60.630,87;7255156543115;58.185,60;1398631276644;55.304,83;658876413213;59.534,51;4149062147879;60.284,66;159395748492
2022-02-19;56.924,16;4788371255455;59.419,44;5933919086222;60.630,87;7255156543115;58.185,60;1398631276644;55.304,83;658876413213;59.534,51;4149062147879;60.284,66;159395748492
2022-02-20;56.924,16;4788371255455;59.419,44;5933919086222;60.630,87;7255156543115;58.185,60;1398631276644;55.304,83;658876413213;59.534,51;4149062147879;60.284,66;159395748492
2022-02-21;56.360,35;4729467864989;58.828,18;5870303676018;60.011,72;7175978002383;57.569,72;1383585929228;54.742,56;652341267471;58.908,87;4106296219345;59.651,83;158111154845
2022-02-22;56.340,33;4723210561943;58.820,22;5868193265033;60.008,76;7173019972695;57.561,82;1383192110461;54.766,79;652644551568;58.884,30;4104223567970;59.670,35;157982546336
2022-02-23;55.751,13;4652387514705;58.220,12;5804758458689;59.408,88;7094022772532;56.940,18;1367010252645;54.173,06;645108814642;58.279,85;4059734160134;59.026,43;155937185232
2022-02-24;55.135,71;4593221129243;57.582,03;5738078655246;58.738,05;7008427337486;56.267,64;1350031720909;53.554,96;637591001859;57.627,62;4011457936505;58.399,63;153666622150
2022-02-25;55.101,54;4577721624701;57.525,61;5724217494546;58.731,76;6993459995887;56.277,51;1348343301676;53.563,60;637138916955;57.628,95;4007606854471;58.418,46;153383702647
2022-02-26;55.101,54;4577721624701;57.525,61;5724217494546;58.731,76;6993459995887;56.277,51;1348343301676;53.563,60;637138916955;57.628,95;4007606854471;58.418,46;153383702647
2022-02-27;55.101,54;4577721624701;57.525,61;5724217494546;58.731,76;6993459995887;56.277,51;1348343301676;53.563,60;637138916955;57.628,95;4007606854471;58.418,46;153383702647
2022-02-28;56.028,42;4634567930133;58.470,28;5796832067499;59.651,20;7067696752906;57.211,38;1368307710517;54.414,85;645502313778;58.586,22;4060815012284;59.360,05;154807939944

Valores Provisorios - Sujetos a Confirmacion

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2022-03-01;55.713,15;4576176381065;58.142,20;5753968763157;59.284,29;7000820963276;56.898,08;1357085201690;54.139,10;642606876994;58.235,07;4035649662825;59.080,68;152697650065
2022-03-02;55.643,88;4435672468514;58.096,52;5625504258285;59.219,20;6837738083728;56.807,63;1314360894356;54.040,38;622795473971;58.130,56;3938676872563;58.997,64;147531807155
2022-03-03;55.973,16;4356235620344;58.448,68;5567974568176;59.600,63;6770396963140;57.159,28;1312603021939;54.385,15;621789388743;58.502,09;3938752504278;59.315,00;143273616420
2022-03-04;55.380,19;4223558713209;57.778,61;5422500975810;59.004,81;6623884377390;56.511,41;1290805719198;53.789,14;611640286478;57.815,56;3873112494551;58.513,74;139100697552
2022-03-05;55.380,19;4223558713209;57.778,61;5422500975810;59.004,81;6623884377390;56.511,41;1290805719198;53.789,14;611640286478;57.815,56;3873112494551;58.513,74;139100697552
2022-03-06;55.380,19;4223558713209;57.778,61;5422500975810;59.004,81;6623884377390;56.511,41;1290805719198;53.789,14;611640286478;57.815,56;3873112494551;58.513,74;139100697552
2022-03-07;55.033,99;4145231145656;57.359,28;5360750640804;58.588,65;6542437025867;56.064,76;1275007939277;53.402,45;604611326495;57.339,07;3823405498725;58.159,87;136978090936
2022-03-08;54.017,62;4051565403381;56.253,14;5241328980204;;;54.934,24;1244562733787;52.334,97;590292513550;;;;
